model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,best_epoch,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,2,waseem-racism,ibereval,ZERO_SHOT,8,8,1e-05,32,3817,52158,8.0,0.5501025860461033,0.6290150343336807,0.5450383179850524,0.8429378531073446,0.1871345029239766,0.39344262295081966,0.12276214833759591,0.9130706691682301,0.8645874457165417,0.9673144876325088
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,2,evalita,ibereval,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,3817,52158,8.0,0.6196104811326799,0.6284229788902687,0.6265700483091787,0.62,0.6317829457364341,0.5699300699300699,0.7086956521739131,0.6074380165289256,0.6869158878504673,0.5444444444444444
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,2,waseem-sexism,ibereval,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,3817,52158,8.0,0.5644901453392221,0.6884300150383253,0.5638656172205155,0.7880976952184382,0.2524271844660194,0.574585635359116,0.16174183514774496,0.8765531062124249,0.8022743947175348,0.9659893992932862
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,3,davidson,hateval-immigrant,TRAINING_PASSED,8,8,1e-05,32,4500,56658,8.0,0.8468213372305444,0.8269415895127268,0.8882211538461539,0.8711985688729875,0.7857142857142857,0.6839378238341969,0.9230769230769231,0.907928388746803,0.9699453551912568,0.8533653846153846
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,3,founta_hateful_57k,hateval-immigrant,TRAINING_PASSED,8,8,1e-05,32,4500,56658,8.0,0.748795926726397,0.7204207519932855,0.7896470335323957,0.9223258652253509,0.5400103252452245,0.46990116801437554,0.6347087378640777,0.9575815282075696,0.9709403359721954,0.9445853292007138
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,3,ibereval,hateval-immigrant,TRAINING_PASSED,8,8,1e-05,32,4500,56658,8.0,0.7694444444444445,0.77601027566446,0.7896688974148314,0.7713498622589532,0.7484848484848485,0.6551724137931034,0.872791519434629,0.7904040404040404,0.8968481375358166,0.7065462753950339
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,3,hateval-immigrant,hateval-immigrant,IN_TRAINING,8,8,1e-05,32,4500,56658,8.0,0.4557488265117927,0.6132181893851445,0.5566717833452113,0.49766511007338227,0.6067885117493472,0.45178849144634525,0.9236883942766295,0.3047091412742382,0.7746478873239436,0.1896551724137931
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,3,hateval-women,hateval-immigrant,ZERO_SHOT,8,8,1e-05,32,4500,56658,8.0,0.3165233396447269,0.6823489010989011,0.5080313540431856,0.4327445652173913,0.5983645983645983,0.4271978021978022,0.9983948635634029,0.03468208092485549,0.9375,0.0176678445229682
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,3,waseem-racism,hateval-immigrant,ZERO_SHOT,8,8,1e-05,32,4500,56658,8.0,0.6665732656267966,0.6486742830452169,0.7114278419925353,0.7947269303201506,0.45986124876114964,0.37540453074433655,0.5933503836317136,0.8732852824924436,0.9219440353460973,0.8295053003533569
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,3,evalita,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,56658,8.0,0.5306666666666666,0.6253767329716697,0.5837359098228664,0.56,0.648,0.5126582278481012,0.8804347826086957,0.41333333333333333,0.7380952380952381,0.28703703703703703
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,3,waseem-sexism,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,56658,8.0,0.6526716637735362,0.6463826062122444,0.6619623397391863,0.7475060199518404,0.4711815561959654,0.4389261744966443,0.5085536547433903,0.8341617713511071,0.8538390379278445,0.8153710247349824
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,4,davidson,hateval-women,TRAINING_PASSED,8,8,1e-05,32,4500,61158,8.0,0.7656471853852818,0.9128324709776716,0.7243225524475525,0.8577817531305904,0.6187050359712231,0.9847328244274809,0.45104895104895104,0.9125893347993403,0.8409321175278622,0.9975961538461539
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,4,founta_hateful_57k,hateval-women,TRAINING_PASSED,8,8,1e-05,32,4500,61158,8.0,0.6262981491297818,0.8944909225579896,0.5843842127916064,0.9382791386975852,0.28484848484848485,0.8493975903614458,0.17111650485436894,0.9677478134110787,0.9395842547545334,0.9976519207288438
