model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,waseem-sexism,waseem-racism,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,10192,71350,0.48178672347565016,0.6312355476140424,0.5171536772747006,0.7777777777777778,0.09014084507042254,0.47761194029850745,0.049766718506998445,0.8734326018808778,0.7848591549295775,0.9845406360424028
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,evalita,evalita,IN_TRAINING,8,8,1e-05,32,4799,4799,0.6725989336937749,0.6734173417341734,0.6745169082125604,0.673,0.661139896373057,0.6316831683168317,0.6934782608695652,0.6840579710144927,0.7151515151515152,0.6555555555555556
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,waseem-racism,evalita,ZERO_SHOT,8,8,1e-05,32,4799,4799,0.5334052894536765,0.5683917534705508,0.5321009145707752,0.8244821092278719,0.16487455197132617,0.2754491017964072,0.11764705882352941,0.9019360269360269,0.8613344051446945,0.9465547703180212
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,ibereval,evalita,ZERO_SHOT,8,8,1e-05,32,4799,4799,0.6632962588473206,0.6782266044985691,0.6594612703299858,0.6942148760330579,0.5612648221343873,0.6367713004484304,0.5017667844522968,0.7653276955602537,0.7196819085487077,0.8171557562076749
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,hateval-immigrant,evalita,ZERO_SHOT,8,8,1e-05,32,4799,4799,0.43379972037727504,0.5952783650458069,0.519764998263984,0.5910607071380921,0.13540197461212977,0.6,0.07631160572337042,0.7321974661424203,0.5905567300916138,0.9632183908045977
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,davidson,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.8104961873309953,0.8443695668512163,0.7888439685314685,0.8667262969588551,0.7072691552062869,0.8071748878923767,0.6293706293706294,0.9137232194557036,0.8815642458100559,0.9483173076923077
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,founta_hateful_57k,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.7350283471802459,0.7911349162029744,0.6996705735970112,0.940284194926336,0.5018181818181818,0.6261343012704175,0.4186893203883495,0.96823851254231,0.9561355311355312,0.980651826805673
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,hateval-women,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.3574447527875444,0.6562643357510384,0.5238284300101904,0.452445652173913,0.6045142296368989,0.4353356890459364,0.9887640449438202,0.11037527593818984,0.8771929824561403,0.05889281507656066
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,waseem-sexism,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.5169561729363958,0.5868220902754334,0.5300332748984717,0.7640178878568972,0.17149758454106281,0.3837837837837838,0.1104199066874028,0.8624147613317288,0.789860396767083,0.9496466431095406
diptanu/fBERT,GO,109483778,vanilla_ft,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,1,evalita,waseem-racism,TRAINING_PASSED,8,8,1e-05,32,10192,14991,0.41100433643116063,0.5907744801390589,0.5170289855072464,0.553,0.12180746561886051,0.6326530612244898,0.06739130434782609,0.7002012072434608,0.5488958990536278,0.9666666666666667
